name,time,pressure1,pressure2,pressure3,pressure4,temperature1,temperature2,temperature3,temperature4,temperature5
test12,2024-03-23T10:51:22.265009128Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T10:51:24.245172857Z,NA,NA,NA,NA,NA,19.5,NA,NA,NA
test12,2024-03-23T10:51:24.336878764Z,NA,NA,NA,NA,18.625,NA,NA,NA,NA
test12,2024-03-23T10:51:30.498256811Z,NA,0.122437276,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T10:51:32.266519196Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T10:51:34.40103069Z,NA,NA,NA,NA,18.625,NA,NA,NA,NA
test12,2024-03-23T10:51:34.456502739Z,NA,NA,NA,NA,NA,19.5,NA,NA,NA
test12,2024-03-23T10:51:40.499463825Z,NA,0.122437276,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T10:51:42.268372768Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T10:51:44.462830164Z,NA,NA,NA,NA,18.625,NA,NA,NA,NA
test12,2024-03-23T10:51:44.669051114Z,NA,NA,NA,NA,NA,19.5,NA,NA,NA
test12,2024-03-23T10:51:50.501319338Z,NA,0.136774182,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T10:51:52.268588514Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T10:51:54.526360258Z,NA,NA,NA,NA,18.625,NA,NA,NA,NA
test12,2024-03-23T10:51:54.884385254Z,NA,NA,NA,NA,NA,19.5,NA,NA,NA
test12,2024-03-23T10:52:00.50481188Z,NA,0.136774182,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T10:52:02.279098833Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T10:52:04.593429596Z,NA,NA,NA,NA,18.625,NA,NA,NA,NA
test12,2024-03-23T10:52:05.096143988Z,NA,NA,NA,NA,NA,19.5,NA,NA,NA
test12,2024-03-23T10:52:10.503058359Z,NA,0.122437276,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T10:52:12.272856883Z,0.158279568,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T10:52:14.657775913Z,NA,NA,NA,NA,18.625,NA,NA,NA,NA
test12,2024-03-23T10:52:15.307893418Z,NA,NA,NA,NA,NA,19.5,NA,NA,NA
test12,2024-03-23T10:52:20.504054769Z,NA,0.122437276,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T10:52:22.272885652Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T10:52:24.720172272Z,NA,NA,NA,NA,18.625,NA,NA,NA,NA
test12,2024-03-23T10:52:25.520285721Z,NA,NA,NA,NA,NA,19.5,NA,NA,NA
test12,2024-03-23T10:52:30.505787019Z,NA,0.122437276,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T10:52:32.271632006Z,0.158279568,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T10:52:34.789988136Z,NA,NA,NA,NA,18.625,NA,NA,NA,NA
test12,2024-03-23T10:52:35.739610297Z,NA,NA,NA,NA,NA,19.5,NA,NA,NA
test12,2024-03-23T10:52:40.52076297Z,NA,0.122437276,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T10:52:42.279241231Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T10:52:44.850077579Z,NA,NA,NA,NA,18.625,NA,NA,NA,NA
test12,2024-03-23T10:52:45.950656297Z,NA,NA,NA,NA,NA,19.5,NA,NA,NA
test12,2024-03-23T10:52:50.50844814Z,NA,0.122437276,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T10:52:52.280182328Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T10:52:54.921525902Z,NA,NA,NA,NA,18.625,NA,NA,NA,NA
test12,2024-03-23T10:52:56.15965708Z,NA,NA,NA,NA,NA,19.5,NA,NA,NA
test12,2024-03-23T10:53:00.507623179Z,NA,0.115268826,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T10:53:02.275031748Z,0.158279568,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T10:53:05.003823842Z,NA,NA,NA,NA,18.625,NA,NA,NA,NA
test12,2024-03-23T10:53:06.374022028Z,NA,NA,NA,NA,NA,19.5,NA,NA,NA
test12,2024-03-23T10:53:10.507454943Z,NA,0.115268826,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T10:53:12.272660783Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T10:53:15.038403293Z,NA,NA,NA,NA,18.625,NA,NA,NA,NA
test12,2024-03-23T10:53:16.584761727Z,NA,NA,NA,NA,NA,19.5,NA,NA,NA
test12,2024-03-23T10:53:20.515802395Z,NA,0.122437276,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T10:53:22.280001896Z,0.172616467,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T10:53:25.103663096Z,NA,NA,NA,NA,18.625,NA,NA,NA,NA
test12,2024-03-23T10:53:26.796722259Z,NA,NA,NA,NA,NA,19.5,NA,NA,NA
test12,2024-03-23T10:53:30.533535523Z,NA,0.122437276,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T10:53:32.278519126Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:09:06.39444157Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
test12,2024-03-23T11:09:10.614518299Z,NA,0.122437276,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:09:11.14283526Z,NA,NA,NA,NA,18.75,NA,NA,NA,NA
test12,2024-03-23T11:09:12.402753209Z,0.158279568,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:09:16.608918914Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
test12,2024-03-23T11:09:20.61919299Z,NA,0.115268826,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:09:21.244323429Z,NA,NA,NA,NA,18.75,NA,NA,NA,NA
test12,2024-03-23T11:09:22.384952091Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:09:26.822750624Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
test12,2024-03-23T11:09:30.621044696Z,NA,0.122437276,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:09:31.272064009Z,NA,NA,NA,NA,18.75,NA,NA,NA,NA
test12,2024-03-23T11:09:32.374353851Z,0.158279568,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:09:37.018865025Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
test12,2024-03-23T11:09:40.615313258Z,NA,0.136774182,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:09:41.336438851Z,NA,NA,NA,NA,18.75,NA,NA,NA,NA
test12,2024-03-23T11:09:42.378566561Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:09:47.227724125Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
test12,2024-03-23T11:09:50.616162533Z,NA,0.122437276,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:09:51.40095794Z,NA,NA,NA,NA,18.75,NA,NA,NA,NA
test12,2024-03-23T11:09:52.380897658Z,0.172616467,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:09:57.449337518Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
test12,2024-03-23T11:10:00.617138052Z,NA,0.136774182,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:10:01.46343193Z,NA,NA,NA,NA,18.75,NA,NA,NA,NA
test12,2024-03-23T11:10:02.379152637Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:10:07.654502949Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
test12,2024-03-23T11:10:10.618463155Z,NA,0.122437276,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:10:11.524021767Z,NA,NA,NA,NA,18.75,NA,NA,NA,NA
test12,2024-03-23T11:10:12.383652781Z,0.165448025,NA,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:10:17.869925371Z,NA,NA,NA,NA,NA,19.625,NA,NA,NA
test12,2024-03-23T11:10:20.619272027Z,NA,0.122437276,NA,NA,NA,NA,NA,NA,NA
test12,2024-03-23T11:10:21.592763005Z,NA,NA,NA,NA,18.75,NA,NA,NA,NA
